time,type,cnstr,obj
0.0,com,agg,422
1.0,com,agg,324
2.0,com,agg,298
3.0,com,agg,295
4.0,com,agg,292
4.74,cp,agg,422
4.76,cp,agg,420
4.82,cp,agg,418
4.83,cp,agg,375
5.0,com,agg,291
5.08,cp,agg,359
5.12,cp,agg,358
5.13,cp,unzip,422
5.14,cp,agg,357
5.14,cp,unzip,420
5.19,cp,agg,356
5.21,cp,agg,330
5.21,cp,unzip,377
5.3,cp,agg,329
5.35,cp,agg,328
5.42,cp,agg,317
5.51,cp,unzip,368
5.54,cp,unzip,367
5.57,cp,agg,315
5.64,cp,unzip,332
5.66,cp,agg,314
5.69,cp,unzip,319
5.74,cp,agg,301
5.76,cp,agg,300
5.78,cp,unzip,314
5.89,cp,agg,290
5.93,cp,agg,289
5.99,cp,agg,286
6.07,cp,unzip,307
6.13,cp,unzip,306
6.2,cp,unzip,303
6.46,cp,unzip,301
6.6,cp,agg,284
6.62,cp,unzip,300
6.69,cp,agg,283
6.79,cp,agg,280
6.91,cp,unzip,299
7.26,cp,agg,279
7.65,cp,agg,278
9.64,cp,unzip,297
9.82,cp,unzip,296
9.87,cp,unzip,295
10.72,cp,unzip,291
10.99,cp,unzip,290
11.0,com,agg,291
11.41,cp,unzip,289
12.0,com,agg,291
13.48,cp,unzip,284
13.53,cp,unzip,283
17.35,cp,agg,276
17.62,cp,agg,274
18.75,cp,agg,273
21.0,com,agg,291
29.0,com,agg,291
30.0,com,agg,291
34.0,com,unzip,397
47.0,com,agg,291
50.0,com,agg,291
57.0,com,unzip,289
62.21,cp,unzip,280
71.8,cp,unzip,279
71.87,cp,unzip,278
72.32,cp,unzip,276
73.0,com,agg,291
75.79,cp,unzip,275
76.14,cp,unzip,274
76.27,cp,unzip,273
76.33,cp,unzip,272
76.36,cp,unzip,271
76.38,cp,unzip,270
76.68,cp,unzip,269
76.92,cp,unzip,268
78.0,com,unzip,289
83.86,cp,unzip,267
87.0,com,unzip,289
115.0,com,agg,277
142.0,com,unzip,289
145.0,com,agg,277
148.0,com,unzip,289
195.0,com,unzip,289
201.0,com,unzip,289
227.0,com,agg,277
242.0,com,unzip,289
266.0,com,unzip,289
291.0,com,agg,277
329.0,com,unzip,282
347.64,cp,unzip,266
349.85,cp,unzip,265
372.0,com,agg,272
377.0,com,unzip,282
411.0,com,agg,272
417.0,com,unzip,282
452.0,com,agg,270
470.0,com,unzip,282
474.0,com,agg,270
478.14,cp,unzip,263
479.39,cp,unzip,262
511.0,com,unzip,282
513.0,com,agg,270
539.44,cp,agg,272
539.64,cp,agg,271
554.0,com,unzip,282
556.0,com,unzip,282
560.0,com,unzip,282
565.0,com,unzip,282
602.0,com,unzip,274
629.0,com,agg,269
640.0,com,agg,269
687.0,com,agg,269
697.0,com,agg,269
711.0,com,unzip,274
749.0,com,agg,269
758.0,com,agg,269
880.0,com,agg,269
882.0,com,unzip,274
894.0,com,agg,269
944.0,com,agg,269
949.0,com,agg,269
999.0,com,agg,269
1008.0,com,agg,269
1058.0,com,agg,269
1075.0,com,agg,269
1095.0,com,unzip,270
1184.0,com,agg,269
1249.0,com,agg,269
1288.0,com,agg,269
1320.0,com,agg,269
1350.0,com,unzip,270
1358.0,com,agg,269
1361.0,com,agg,269
1367.0,com,agg,269
1402.0,com,agg,269
1436.0,com,agg,269
1471.0,com,agg,269
1545.0,com,agg,269
1675.0,com,agg,269
1700.0,com,unzip,269
1914.0,com,agg,269
1938.0,com,unzip,269
1959.0,scip,agg,387
2057.0,com,unzip,265
2158.0,scip,agg,328
2176.0,com,unzip,265
2249.0,com,unzip,265
2338.0,com,agg,269
2354.0,com,unzip,265
2370.0,cp,agg,269
2370.64,cp,agg,268
2466.0,com,unzip,265
2550.0,com,unzip,265
2682.0,com,unzip,265
2766.0,com,unzip,265
2841.0,com,agg,269
2897.0,com,unzip,265
2967.0,com,unzip,265
3100.0,com,unzip,265
3124.0,com,agg,268
3170.0,com,unzip,265
3207.0,scip,agg,323
3261.0,scip,unzip,385
3289.0,com,unzip,265
3301.0,scip,unzip,348
3365.0,com,unzip,265
3405.0,com,agg,266
3483.0,com,unzip,265
3491.0,scip,unzip,330
3547.0,com,unzip,265
3600.0,com,agg,265
